% Program : PPPBox
% Positioning Mode : static
% Year   Doy      Second        Lat(deg)        Lon(deg)     Height(m)    ZTD(m)  nSat   GDOP    PDOP
2015      19    2130.000    44.519959134    11.646816768       49.8655    2.3827    7  2.6222  2.2482
2015      19    2160.000    44.519959141    11.646816747       49.8637    2.3830    7  2.6230  2.2490
2015      19    2190.000    44.519959141    11.646816763       49.8640    2.3835    7  2.6238  2.2498
2015      19    2220.000    44.519959148    11.646816761       49.8636    2.3841    7  2.6245  2.2505
2015      19    2250.000    44.519959146    11.646816785       49.8660    2.3843    7  2.6250  2.2512
2015      19    2280.000    44.519959162    11.646816720       49.8646    2.3855    7  2.6255  2.2518
2015      19    2310.000    44.519959175    11.646816689       49.8635    2.3860    7  2.6259  2.2523
2015      19    2340.000    44.519959189    11.646816660       49.8660    2.3859    7  2.6262  2.2528
2015      19    2370.000    44.519959193    11.646816637       49.8647    2.3877    7  2.6264  2.2532
2015      19    2400.000    44.519959200    11.646816578       49.8607    2.3899    7  2.6265  2.2535
2015      19    2430.000    44.519959209    11.646816525       49.8569    2.3917    7  2.6265  2.2537
2015      19    2460.000    44.519959197    11.646816586       49.8624    2.3907    7  2.6263  2.2539
2015      19    2490.000    44.519959194    11.646816591       49.8637    2.3910    7  2.6261  2.2540
2015      19    2520.000    44.519959192    11.646816615       49.8671    2.3905    7  2.6257  2.2540
2015      19    2550.000    44.519959183    11.646816655       49.8702    2.3912    7  2.6252  2.2539
2015      19    2580.000    44.519959161    11.646816741       49.8758    2.3900    7  2.6246  2.2537
2015      19    2610.000    44.519959145    11.646816818       49.8808    2.3883    7  2.6239  2.2535
2015      19    2640.000    44.519959122    11.646816917       49.8893    2.3861    7  2.6231  2.2531
2015      19    2670.000    44.519959092    11.646817075       49.9025    2.3836    7  2.6221  2.2527
2015      19    2700.000    44.519959066    11.646817191       49.9124    2.3816    7  2.6210  2.2521
2015      19    2730.000    44.519959038    11.646817309       49.9216    2.3794    7  2.6198  2.2515
2015      19    2760.000    44.519959015    11.646817406       49.9287    2.3774    7  2.6185  2.2508
2015      19    2790.000    44.519958999    11.646817461       49.9334    2.3769    7  2.6170  2.2499
2015      19    2820.000    44.519958989    11.646817505       49.9365    2.3761    7  2.6154  2.2490
2015      19    2850.000    44.519958974    11.646817574       49.9425    2.3750    7  2.6136  2.2480
2015      19    2880.000    44.519958964    11.646817627       49.9487    2.3740    7  2.6118  2.2468
2015      19    2910.000    44.519958951    11.646817706       49.9563    2.3727    7  2.6098  2.2456
2015      19    2940.000    44.519958950    11.646817728       49.9586    2.3722    7  2.6076  2.2443
2015      19    2970.000    44.519958958    11.646817697       49.9581    2.3726    7  2.6053  2.2428
2015      19    3000.000    44.519958962    11.646817682       49.9588    2.3727    7  2.6029  2.2413
2015      19    3030.000    44.519958964    11.646817693       49.9616    2.3720    7  2.6004  2.2396
2015      19    3060.000    44.519958957    11.646817726       49.9660    2.3720    7  2.5977  2.2379
2015      19    3090.000    44.519958955    11.646817737       49.9688    2.3714    7  2.5949  2.2360
2015      19    3120.000    44.519958952    11.646817734       49.9703    2.3719    7  2.5919  2.2340
2015      19    3150.000    44.519958957    11.646817689       49.9674    2.3737    7  2.5888  2.2320
2015      19    3180.000    44.519958954    11.646817688       49.9680    2.3745    7  2.5856  2.2298
2015      19    3210.000    44.519958958    11.646817659       49.9670    2.3744    7  2.5822  2.2275
2015      19    3240.000    44.519958955    11.646817653       49.9672    2.3742    6  3.1274  2.6365
2015      19    3270.000    44.519958945    11.646817692       49.9712    2.3734    6  3.1283  2.6373
2015      19    3300.000    44.519958943    11.646817694       49.9714    2.3733    6  3.1291  2.6381
2015      19    3330.000    44.519958934    11.646817722       49.9735    2.3728    6  3.1300  2.6389
2015      19    3360.000    44.519958926    11.646817752       49.9757    2.3721    5  4.8420  3.9183
2015      19    3390.000    44.519958913    11.646817798       49.9792    2.3711    5  4.8474  3.9222
2015      19    3420.000    44.519958913    11.646817796       49.9795    2.3712    5  4.8528  3.9262
2015      19    3450.000    44.519958905    11.646817816       49.9804    2.3705    5  4.8582  3.9303
2015      19    3480.000    44.519958894    11.646817864       49.9833    2.3701    5  4.8635  3.9343
2015      19    3510.000    44.519958901    11.646817829       49.9813    2.3709    5  4.8688  3.9383
2015      19    3540.000    44.519958898    11.646817831       49.9817    2.3715    5  4.8741  3.9422
2015      19    3570.000    44.519958901    11.646817820       49.9810    2.3725    5  4.8794  3.9462
2015      19    3600.000    44.519958903    11.646817807       49.9797    2.3730    5  4.8846  3.9502
2015      19    3630.000    44.519958909    11.646817778       49.9778    2.3737    5  4.8897  3.9541
2015      19    3660.000    44.519958913    11.646817764       49.9771    2.3742    6  1.9747  1.8099
2015      19    3690.000    44.519958915    11.646817761       49.9770    2.3747    6  1.9757  1.8103
2015      19    3720.000    44.519958919    11.646817745       49.9762    2.3748    6  1.9766  1.8107
