% Program : PPPBox
% Positioning Mode : static
% Year   Doy      Second        Lat(deg)        Lon(deg)     Height(m)    ZTD(m)  nSat   GDOP    PDOP
2015      19    2100.000    42.556095606    23.394735767     1119.3947    2.1275    7  2.5685  2.2090
2015      19    2130.000    42.556095602    23.394735827     1119.4064    2.1234    7  2.5692  2.2097
2015      19    2160.000    42.556095608    23.394735824     1119.4108    2.1231    7  2.5699  2.2104
2015      19    2190.000    42.556095606    23.394735846     1119.4150    2.1229    7  2.5705  2.2111
2015      19    2220.000    42.556095589    23.394735897     1119.4156    2.1225    7  2.5710  2.2116
2015      19    2250.000    42.556095592    23.394735869     1119.4186    2.1223    7  2.5714  2.2122
2015      19    2280.000    42.556095615    23.394735799     1119.4101    2.1241    7  2.5718  2.2126
2015      19    2310.000    42.556095621    23.394735815     1119.4108    2.1239    7  2.5720  2.2130
2015      19    2340.000    42.556095618    23.394735781     1119.4153    2.1232    7  2.5721  2.2133
2015      19    2370.000    42.556095618    23.394735771     1119.4168    2.1227    7  2.5721  2.2135
2015      19    2400.000    42.556095615    23.394735768     1119.4116    2.1229    7  2.5720  2.2137
2015      19    2430.000    42.556095598    23.394735803     1119.4138    2.1224    7  2.5718  2.2138
2015      19    2460.000    42.556095589    23.394735833     1119.4127    2.1224    7  2.5715  2.2138
2015      19    2490.000    42.556095587    23.394735832     1119.4155    2.1216    7  2.5711  2.2137
2015      19    2520.000    42.556095591    23.394735819     1119.4173    2.1218    7  2.5705  2.2135
2015      19    2550.000    42.556095613    23.394735779     1119.4164    2.1231    7  2.5699  2.2133
2015      19    2580.000    42.556095630    23.394735730     1119.4165    2.1243    7  2.5691  2.2129
2015      19    2610.000    42.556095655    23.394735651     1119.4050    2.1275    7  2.5682  2.2125
2015      19    2640.000    42.556095686    23.394735570     1119.3992    2.1297    7  2.5672  2.2120
2015      19    2670.000    42.556095705    23.394735550     1119.3990    2.1309    7  2.5660  2.2113
2015      19    2700.000    42.556095712    23.394735552     1119.4002    2.1312    7  2.5647  2.2106
2015      19    2730.000    42.556095717    23.394735555     1119.4042    2.1295    7  2.5633  2.2098
2015      19    2760.000    42.556095714    23.394735592     1119.4115    2.1274    7  2.5618  2.2089
2015      19    2790.000    42.556095707    23.394735633     1119.4177    2.1257    7  2.5601  2.2079
2015      19    2820.000    42.556095709    23.394735638     1119.4217    2.1244    7  2.5583  2.2068
2015      19    2850.000    42.556095722    23.394735616     1119.4199    2.1245    7  2.5564  2.2056
2015      19    2880.000    42.556095747    23.394735570     1119.4142    2.1252    7  2.5544  2.2043
2015      19    2910.000    42.556095758    23.394735536     1119.4133    2.1252    7  2.5522  2.2029
2015      19    2940.000    42.556095780    23.394735466     1119.4083    2.1260    7  2.5499  2.2014
2015      19    2970.000    42.556095802    23.394735407     1119.4029    2.1268    7  2.5474  2.1998
2015      19    3000.000    42.556095816    23.394735356     1119.3971    2.1274    7  2.5448  2.1980
2015      19    3030.000    42.556095839    23.394735282     1119.3915    2.1282    7  2.5421  2.1962
2015      19    3060.000    42.556095859    23.394735233     1119.3856    2.1294    7  2.5392  2.1943
