% Program : PPPBox
% Positioning Mode : kinematic
% Year   Doy      Second        Lat(deg)        Lon(deg)     Height(m)    ZTD(m)  nSat   GDOP    PDOP
2014     313   18735.000    30.332232090   114.416343838       22.3385    2.1655   10  1.9996  1.7683
2014     313   18736.000    30.332322411   114.416312902       22.3312    2.1726   10  1.9995  1.7683
2014     313   18737.000    30.332411564   114.416282202       22.3123    2.1803   10  1.9995  1.7682
2014     313   18738.000    30.332499850   114.416251701       22.3138    2.1899   10  1.9994  1.7682
2014     313   18739.000    30.332587141   114.416221372       22.3227    2.1982   10  1.9994  1.7681
2014     313   18740.000    30.332673453   114.416191232       22.3406    2.2083   10  1.9993  1.7681
2014     313   18741.000    30.332758918   114.416161581       22.3552    2.2182   10  1.9993  1.7681
2014     313   18742.000    30.332844241   114.416132362       22.3811    2.2273   10  1.9992  1.7680
2014     313   18743.000    30.332929502   114.416103766       22.4121    2.2341   10  1.9992  1.7680
2014     313   18744.000    30.333014540   114.416075584       22.4499    2.2407   10  1.9991  1.7679
2014     313   18745.000    30.333099530   114.416047429       22.4882    2.2473   10  1.9991  1.7679
2014     313   18746.000    30.333185086   114.416019050       22.5291    2.2542   10  1.9990  1.7679
2014     313   18747.000    30.333270777   114.415990008       22.5603    2.2580   10  1.9990  1.7678
2014     313   18748.000    30.333356875   114.415960592       22.6377    2.2612   10  1.9989  1.7678
2014     313   18749.000    30.333444206   114.415930715       22.6744    2.2653   10  1.9989  1.7677
2014     313   18750.000    30.333532288   114.415901113       22.7588    2.2700   10  1.9988  1.7677
2014     313   18751.000    30.333620814   114.415871403       22.8717    2.2677   10  1.9987  1.7677
2014     313   18752.000    30.333709819   114.415841606       22.9615    2.2693   10  1.9987  1.7676
2014     313   18753.000    30.333799182   114.415811774       23.0978    2.2660   10  1.9986  1.7676
2014     313   18754.000    30.333888615   114.415781915       23.2299    2.2615   10  1.9986  1.7675
2014     313   18755.000    30.333978352   114.415751786       23.3620    2.2605   10  1.9985  1.7675
2014     313   18756.000    30.334068254   114.415721682       23.5004    2.2605   10  1.9985  1.7675
2014     313   18757.000    30.334158162   114.415691529       23.5992    2.2609   10  1.9984  1.7674
2014     313   18758.000    30.334248239   114.415661172       23.7186    2.2602   10  1.9984  1.7674
2014     313   18759.000    30.334338293   114.415630711       23.8754    2.2569   10  1.9983  1.7673
2014     313   18760.000    30.334428080   114.415600028       24.0161    2.2527   10  1.9983  1.7673
2014     313   18761.000    30.334517865   114.415568978       24.1615    2.2473   10  1.9982  1.7673
2014     313   18762.000    30.334607800   114.415538222       24.3163    2.2378   10  1.9982  1.7672
2014     313   18763.000    30.334698111   114.415507884       24.4539    2.2267   10  1.9981  1.7672
2014     313   18764.000    30.334788487   114.415477643       24.5819    2.2219   10  1.9980  1.7671
2014     313   18765.000    30.334879107   114.415447302       24.7133    2.2158   10  1.9980  1.7671
2014     313   18766.000    30.334969925   114.415416871       24.8421    2.2152   10  1.9979  1.7671
2014     313   18767.000    30.335060879   114.415386440       24.9749    2.2140   10  1.9979  1.7670
2014     313   18768.000    30.335152135   114.415355898       25.0872    2.2148   10  1.9978  1.7670
2014     313   18769.000    30.335243556   114.415325454       25.2158    2.2192   10  1.9978  1.7669
2014     313   18770.000    30.335335161   114.415295248       25.3224    2.2195   10  1.9977  1.7669
2014     313   18771.000    30.335427166   114.415265236       25.4336    2.2179   10  1.9977  1.7668
2014     313   18772.000    30.335519351   114.415235271       25.5554    2.2154   10  1.9976  1.7668
2014     313   18773.000    30.335610900   114.415205367       25.6494    2.2155   10  1.9975  1.7668
2014     313   18774.000    30.335700980   114.415175776       25.7331    2.2117   10  1.9975  1.7667
2014     313   18775.000    30.335789807   114.415146364       25.8401    2.2130   10  1.9974  1.7667
2014     313   18776.000    30.335876604   114.415117348       25.9409    2.2142   10  1.9974  1.7666
2014     313   18777.000    30.335962055   114.415088763       26.0573    2.2140   10  1.9973  1.7666
2014     313   18778.000    30.336046012   114.415060470       26.1567    2.2167   10  1.9973  1.7665
2014     313   18779.000    30.336128477   114.415032496       26.2672    2.2241   10  1.9972  1.7665
2014     313   18780.000    30.336209634   114.415004938       26.3863    2.2273   10  1.9971  1.7665
2014     313   18781.000    30.336289427   114.414977728       26.4779    2.2337   10  1.9971  1.7664
2014     313   18782.000    30.336368534   114.414950615       26.5493    2.2427   10  1.9970  1.7664
2014     313   18783.000    30.336448248   114.414923426       26.6546    2.2472   10  1.9970  1.7663
2014     313   18784.000    30.336528362   114.414896157       26.7338    2.2539   10  1.9969  1.7663
2014     313   18785.000    30.336608690   114.414868954       26.7997    2.2587   10  1.9969  1.7662
2014     313   18786.000    30.336689219   114.414841741       26.8777    2.2665   10  1.9968  1.7662
2014     313   18787.000    30.336770271   114.414814763       26.9285    2.2755   10  1.9967  1.7661
2014     313   18788.000    30.336851672   114.414787582       26.9847    2.2872   10  1.9967  1.7661
2014     313   18789.000    30.336933804   114.414760071       27.0559    2.2972   10  1.9966  1.7661
2014     313   18790.000    30.337017461   114.414731695       27.1202    2.3073   10  1.9966  1.7660
2014     313   18791.000    30.337102781   114.414702299       27.1710    2.3164   10  1.9965  1.7660
2014     313   18792.000    30.337189767   114.414671986       27.2448    2.3204   10  1.9964  1.7659
2014     313   18793.000    30.337277991   114.414641331       27.3111    2.3283   10  1.9964  1.7659
2014     313   18794.000    30.337366567   114.414610275       27.3766    2.3378   10  1.9963  1.7658
2014     313   18795.000    30.337455468   114.414579355       27.4525    2.3476   10  1.9963  1.7658
2014     313   18796.000    30.337544560   114.414548605       27.5090    2.3544   10  1.9962  1.7657
2014     313   18797.000    30.337632948   114.414518402       27.5494    2.3615   10  1.9961  1.7657
2014     313   18798.000    30.337720205   114.414489432       27.6125    2.3681   10  1.9961  1.7657
2014     313   18799.000    30.337806435   114.414461152       27.6819    2.3754   10  1.9960  1.7656
2014     313   18800.000    30.337891928   114.414433464       27.7161    2.3828   10  1.9960  1.7656
2014     313   18801.000    30.337976400   114.414406268       27.7413    2.3908   10  1.9959  1.7655
2014     313   18802.000    30.338059747   114.414379194       27.7742    2.3987   10  1.9958  1.7655
2014     313   18803.000    30.338142025   114.414351950       27.8221    2.4052   10  1.9958  1.7654
2014     313   18804.000    30.338223143   114.414324887       27.8852    2.4121   10  1.9957  1.7654
2014     313   18805.000    30.338303165   114.414297997       27.9521    2.4167   10  1.9957  1.7653
2014     313   18806.000    30.338382218   114.414271221       28.0229    2.4198   10  1.9956  1.7653
2014     313   18807.000    30.338460357   114.414244886       28.0781    2.4219   10  1.9955  1.7652
2014     313   18808.000    30.338537744   114.414219084       28.1232    2.4257   10  1.9955  1.7652
2014     313   18809.000    30.338614007   114.414193870       28.1282    2.4290   10  1.9954  1.7651
2014     313   18810.000    30.338687371   114.414169541       28.1677    2.4310   10  1.9954  1.7651
2014     313   18811.000    30.338757905   114.414146063       28.2008    2.4324   10  1.9953  1.7651
2014     313   18812.000    30.338825873   114.414123341       28.2169    2.4365   10  1.9952  1.7650
2014     313   18813.000    30.338891096   114.414101390       28.2456    2.4404   10  1.9952  1.7650
2014     313   18814.000    30.338954177   114.414080013       28.2620    2.4444   10  1.9951  1.7649
2014     313   18815.000    30.339017865   114.414058359       28.2985    2.4475   10  1.9951  1.7649
2014     313   18816.000    30.339083667   114.414035969       28.3519    2.4473   10  1.9950  1.7648
2014     313   18817.000    30.339151430   114.414012785       28.3902    2.4478   10  1.9949  1.7648
2014     313   18818.000    30.339221000   114.413988852       28.4402    2.4482   10  1.9949  1.7647
2014     313   18819.000    30.339292321   114.413964253       28.4749    2.4498   10  1.9948  1.7647
2014     313   18820.000    30.339362637   114.413939741       28.4818    2.4522   10  1.9947  1.7646
2014     313   18821.000    30.339429805   114.413915911       28.4743    2.4575   10  1.9947  1.7646
2014     313   18822.000    30.339493919   114.413893140       28.4629    2.4600   10  1.9946  1.7645
2014     313   18823.000    30.339554614   114.413872645       28.4674    2.4654   10  1.9946  1.7645
2014     313   18824.000    30.339611268   114.413854841       28.4473    2.4695   10  1.9945  1.7644
2014     313   18825.000    30.339664547   114.413838516       28.4482    2.4695   10  1.9944  1.7644
2014     313   18826.000    30.339714835   114.413823339       28.4693    2.4700   10  1.9944  1.7643
2014     313   18827.000    30.339762538   114.413812461       28.4868    2.4698   10  1.9943  1.7643
2014     313   18828.000    30.339807660   114.413808509       28.5158    2.4682   10  1.9942  1.7642
2014     313   18829.000    30.339850138   114.413809888       28.5071    2.4677   10  1.9942  1.7642
2014     313   18830.000    30.339887959   114.413811909       28.5195    2.4647   10  1.9941  1.7641
