% Program : PPPBox
% Positioning Mode : static
% Year   Doy      Second        Lat(deg)        Lon(deg)     Height(m)    ZTD(m)  nSat   GDOP    PDOP
2015      19    2130.000    57.395300366    11.925519892       45.5552    2.3721    9  1.7644  1.5848
2015      19    2160.000    57.395300374    11.925519873       45.5547    2.3717    9  1.7669  1.5873
2015      19    2190.000    57.395300376    11.925519871       45.5565    2.3715    9  1.7694  1.5897
2015      19    2220.000    57.395300368    11.925519908       45.5599    2.3716    9  1.7718  1.5921
2015      19    2250.000    57.395300360    11.925519916       45.5614    2.3717    9  1.7741  1.5944
2015      19    2280.000    57.395300355    11.925519923       45.5624    2.3717    9  1.7763  1.5967
2015      19    2310.000    57.395300358    11.925519937       45.5613    2.3719    9  1.7785  1.5989
2015      19    2340.000    57.395300359    11.925519956       45.5611    2.3722    9  1.7806  1.6010
2015      19    2370.000    57.395300370    11.925519932       45.5584    2.3718    9  1.7826  1.6031
2015      19    2400.000    57.395300379    11.925519912       45.5568    2.3721    9  1.7846  1.6051
2015      19    2430.000    57.395300387    11.925519884       45.5542    2.3717    9  1.7864  1.6071
2015      19    2460.000    57.395300392    11.925519891       45.5511    2.3716    9  1.7882  1.6090
2015      19    2490.000    57.395300394    11.925519886       45.5498    2.3716    9  1.7899  1.6108
2015      19    2520.000    57.395300388    11.925519923       45.5528    2.3715    9  1.7915  1.6126
2015      19    2550.000    57.395300382    11.925519970       45.5556    2.3716    9  1.7930  1.6143
2015      19    2580.000    57.395300376    11.925520010       45.5562    2.3715    9  1.7945  1.6159
2015      19    2610.000    57.395300369    11.925520051       45.5569    2.3715    9  1.7958  1.6175
2015      19    2640.000    57.395300362    11.925520083       45.5589    2.3714    9  1.7971  1.6189
2015      19    2670.000    57.395300355    11.925520113       45.5611    2.3706    9  1.7983  1.6203
2015      19    2700.000    57.395300357    11.925520110       45.5631    2.3703    9  1.7993  1.6217
2015      19    2730.000    57.395300360    11.925520093       45.5638    2.3701    9  1.8003  1.6229
2015      19    2760.000    57.395300367    11.925520066       45.5640    2.3699    9  1.8012  1.6241
2015      19    2790.000    57.395300371    11.925520059       45.5627    2.3699    8  2.0844  1.8714
2015      19    2820.000    57.395300376    11.925520040       45.5621    2.3697    9  1.9134  1.7388
2015      19    2850.000    57.395300375    11.925520037       45.5630    2.3695    9  1.9250  1.7491
2015      19    2880.000    57.395300379    11.925520035       45.5629    2.3693    9  1.9366  1.7596
2015      19    2910.000    57.395300379    11.925520048       45.5610    2.3697    9  1.9484  1.7702
2015      19    2940.000    57.395300383    11.925520043       45.5598    2.3694    9  1.9602  1.7808
2015      19    2970.000    57.395300384    11.925520050       45.5576    2.3694    9  1.9722  1.7915
2015      19    3000.000    57.395300384    11.925520045       45.5569    2.3688    9  1.9842  1.8024
2015      19    3030.000    57.395300384    11.925520035       45.5574    2.3686    9  1.9963  1.8132
2015      19    3060.000    57.395300379    11.925520045       45.5575    2.3683   10  1.9835  1.8041
2015      19    3090.000    57.395300370    11.925520071       45.5580    2.3688   10  1.9961  1.8154
