% Program : PPPBox
% Positioning Mode : static
% Year   Doy      Second         dn(m)         de(m)         du(m)    ZTD(m)  nSat   GDOP    PDOP
2015      19    2250.000   5093002.368   3672002.303   1047508.092     2.347    9   1.792   1.604
2015      19    2280.000   5093002.356   3672002.313   1047508.120     2.346    9   1.795   1.607
2015      19    2310.000   5093002.321   3672002.345   1047508.178     2.346    9   1.798   1.609
2015      19    2340.000   5093002.302   3672002.362   1047508.209     2.346    9   1.800   1.611
2015      19    2370.000   5093002.253   3672002.408   1047508.285     2.345   10   1.547   1.411
2015      19    2400.000   5093002.206   3672002.450   1047508.366     2.345   10   1.550   1.414
2015      19    2430.000   5093002.164   3672002.489   1047508.432     2.345   10   1.554   1.417
2015      19    2460.000   5093002.156   3672002.497   1047508.443     2.344   10   1.557   1.420
2015      19    2490.000   5093002.131   3672002.521   1047508.482     2.344   10   1.560   1.423
2015      19    2520.000   5093002.108   3672002.540   1047508.528     2.344   10   1.564   1.426
2015      19    2550.000   5093002.077   3672002.573   1047508.563     2.343   10   1.567   1.429
2015      19    2580.000   5093002.063   3672002.584   1047508.592     2.344    9   1.773   1.595
2015      19    2610.000   5093002.064   3672002.586   1047508.579     2.344    9   1.781   1.602
2015      19    2640.000   5093002.072   3672002.577   1047508.571     2.344    9   1.790   1.610
2015      19    2670.000   5093002.077   3672002.575   1047508.557     2.344    9   1.799   1.617
2015      19    2700.000   5093002.072   3672002.583   1047508.553     2.344    9   1.807   1.625
2015      19    2730.000   5093002.082   3672002.577   1047508.524     2.344    9   1.816   1.632
2015      19    2760.000   5093002.085   3672002.575   1047508.519     2.344    9   1.825   1.640
2015      19    2790.000   5093002.084   3672002.575   1047508.518     2.344    9   1.834   1.648
2015      19    2820.000   5093002.090   3672002.569   1047508.511     2.344    9   1.843   1.656
2015      19    2850.000   5093002.100   3672002.559   1047508.499     2.344    9   1.852   1.664
2015      19    2880.000   5093002.103   3672002.557   1047508.493     2.344    9   1.861   1.671
2015      19    2910.000   5093002.109   3672002.553   1047508.478     2.344    9   1.870   1.679
2015      19    2940.000   5093002.116   3672002.548   1047508.464     2.344    9   1.880   1.687
2015      19    2970.000   5093002.113   3672002.548   1047508.472     2.344    9   1.889   1.695
2015      19    3000.000   5093002.125   3672002.540   1047508.445     2.344    9   1.898   1.704
2015      19    3030.000   5093002.145   3672002.522   1047508.412     2.344    9   1.908   1.712
