% Program : PPPBox
% Positioning Mode : static
% Year   Doy      Secondstatic
% Year   Doy      Second         dn(m)         de(m)         du(m)    ZTD(m)  nSat   GDOP    PDOP
2017      73   45403.000        -0.710        -0.064         0.033     2.447    9   1.949   1.713
2017      73   45404.000        -0.714        -0.067         0.012     2.448    9   1.949   1.713
2017      73   45405.000        -0.723        -0.065        -0.005     2.449    9   1.949   1.713
2017      73   45406.000        -0.715        -0.066        -0.035     2.448    9   1.949   1.713
2017      73   45407.000        -0.711        -0.077        -0.072     2.449    9   1.950   1.714
2017      73   45408.000        -0.703        -0.089        -0.112     2.448    9   1.950   1.714
2017      73   45409.000        -0.689        -0.102        -0.157     2.446    9   1.950   1.714
2017      73   45410.000        -0.687        -0.105        -0.199     2.444    9   1.950   1.714
2017      73   45411.000        -0.696        -0.106        -0.228     2.443    9   1.951   1.714
2017      73   45412.000        -0.691        -0.113        -0.271     2.441    9   1.951   1.715
2017      73   45413.000        -0.691        -0.111        -0.311     2.440    9   1.951   1.715
2017      73   45414.000        -0.682        -0.118        -0.365     2.437    9   1.951   1.715
2017      73   45415.000        -0.677        -0.128        -0.415     2.434    9   1.951   1.715
2017      73   45416.000        -0.668        -0.140        -0.459     2.432    9   1.952   1.715
2017      73   45417.000        -0.636        -0.144        -0.532     2.425    9   1.952   1.716
2017      73   45418.000        -0.605        -0.155        -0.617     2.416    9   1.952   1.716
2017      73   45419.000        -0.573        -0.164        -0.695     2.409    9   1.952   1.716
2017      73   45420.000        -0.553        -0.171        -0.765     2.402    9   1.953   1.716
2017      73   45422.000        -0.519        -0.178        -0.827     2.395    9   1.953   1.717
2017      73   45424.000        -0.489        -0.188        -0.885     2.387    9   1.954   1.717
2017      73   45425.000        -0.457        -0.193        -0.938     2.379    9   1.954   1.717
2017      73   45427.000        -0.442        -0.195        -0.972     2.374    9   1.954   1.717
2017      73   45428.000        -0.426        -0.202        -1.006     2.369    9   1.954   1.718
2017      73   45429.000        -0.408        -0.203        -1.039     2.365    9   1.955   1.718
2017      73   45430.000        -0.395        -0.207        -1.072     2.360    9   1.955   1.718
2017      73   45432.000        -0.386        -0.208        -1.094     2.356    9   1.955   1.718
2017      73   45433.000        -0.376        -0.214        -1.122     2.352    9   1.956   1.719
